Tick PD1 PD2 PD3
0050 118 000 195
0051 119 000 195
0052 119 000 195
0053 118 000 195
0054 115 000 195
0055 111 000 195
0056 105 000 195
0057 098 000 195
0058 089 000 195
0059 080 000 195
0060 070 000 195
0061 060 000 195
0062 050 000 195
0063 040 000 195
0064 032 000 195
0065 025 000 195
0066 020 000 195
0067 016 000 195
0068 013 000 195
0069 011 000 195
0070 010 000 195
0071 011 000 195
0072 012 000 195
0073 013 000 195
0074 015 000 195
0075 017 000 195
0076 019 000 195
0077 021 000 195
0078 023 000 195
0079 026 000 195
0080 028 000 195
0081 030 000 195
0082 032 000 195
0083 034 000 195
0084 035 000 195
0085 036 000 195
0086 038 000 195
0087 038 000 195
0088 039 000 195
0089 039 000 195
0090 039 000 195
0091 039 000 195
0092 039 000 195
0093 039 000 195
0094 038 000 195
0095 037 000 195
0096 037 000 195
0097 037 000 195
0098 037 000 195
0099 037 000 195
0100 037 000 195
0101 037 000 195
0102 036 000 195
0103 036 000 195
0104 036 000 195
0105 035 000 195
0106 035 000 195
0107 035 000 195
0108 034 000 195
0109 033 000 195
0110 033 000 195
0111 032 000 195
0112 032 000 195
0113 031 000 195
0114 031 000 195
0115 031 000 195
0116 030 000 195
0117 030 000 195
0118 029 000 195
0119 029 000 195
0120 029 000 195
0121 029 000 195
0122 030 000 195
0123 031 000 195
0124 031 000 195
0125 031 000 195
0126 032 000 195
0127 032 000 195
0128 032 000 195
0129 033 000 195
0130 035 000 195
0131 037 000 195
0132 039 000 195
0133 042 000 195
0134 045 000 195
0135 049 000 195
0136 054 000 195
0137 060 001 195
0138 066 001 195
0139 073 001 195
0140 080 002 195
0141 088 002 195
0142 096 003 195
0143 105 004 195
0144 114 004 195
0145 123 005 195
0146 132 007 195
0147 140 008 195
0148 148 010 195
0149 156 012 195
0150 162 014 195
0151 168 016 195
0152 173 018 195
0153 178 021 195
0154 182 023 195
0155 186 025 195
0156 190 027 195
0157 193 030 195
0158 195 032 195
0159 196 034 195
0160 196 036 195
0161 196 038 195
0162 196 040 195
0163 196 042 195
0164 196 044 195
0165 196 046 194
0166 196 048 193
0167 196 050 191
0168 196 053 190
0169 196 056 188
0170 196 059 187
0171 196 062 185
0172 196 066 183
0173 196 070 180
0174 196 074 177
0175 196 079 174
0176 196 084 170
0177 196 090 166
0178 196 095 162
0179 196 101 158
0180 196 108 154
0181 196 114 149
0182 196 120 145
0183 196 126 140
0184 196 132 136
0185 196 137 132
0186 196 142 128
0187 196 147 124
0188 196 151 120
0189 196 155 117
0190 196 158 113
0191 196 162 110
0192 196 165 107
0193 196 167 104
0194 196 170 101
0195 196 172 099
0196 196 174 096
0197 196 176 094
0198 196 178 092
0199 196 179 089
0200 196 181 087
0201 196 183 084
0202 196 185 082
0203 195 187 079
0204 192 188 076
0205 190 190 073
0206 187 192 070
0207 184 194 067
0208 180 196 064
0209 177 197 061
0210 173 197 057
0211 169 197 054
0212 165 197 051
0213 160 197 047
0214 156 197 044
0215 151 197 041
0216 146 197 038
0217 142 197 035
0218 137 197 032
0219 133 197 030
0220 129 197 027
0221 125 196 024
0222 122 196 022
0223 119 196 020
0224 116 196 018
0225 114 196 016
0226 111 196 014
0227 110 196 013
0228 109 196 011
0229 108 196 010
0230 107 196 009
0231 106 196 008
0232 106 196 008
0233 106 196 007
0234 105 196 006
0235 105 196 006
0236 105 196 005
0237 105 196 005
0238 105 196 005
0239 105 196 004
0240 105 196 004
0241 104 196 004
0242 104 196 004
0243 105 196 003
0244 105 196 003
0245 105 196 003
0246 105 196 003
0247 105 196 002
0248 106 196 002
0249 106 196 002
0250 107 196 002
0251 109 196 002
0252 110 196 002
0253 112 196 001
0254 114 196 001
0255 116 196 001
0256 119 196 001
0257 123 196 001
0258 126 196 001
0259 130 197 000
0260 135 197 000
0261 140 197 000
0262 145 197 000
0263 150 197 000
0264 155 197 000
0265 160 197 000
0266 166 197 000
0267 171 197 000
0268 176 197 000
0269 180 197 000
0270 185 197 000
0271 188 197 000
0272 192 197 000
0273 195 197 000
0274 196 197 000
0275 196 197 000
0276 196 197 000
0277 196 197 000
0278 196 197 000
0279 196 197 000
0280 196 197 000
0281 196 197 000
0282 196 197 000
0283 196 197 000
0284 196 197 000
0285 196 197 000
0286 196 197 000
0287 196 197 000
0288 196 197 000
0289 196 197 000
0290 196 197 000
0291 196 197 000
0292 196 197 000
0293 196 197 000
0294 196 197 000
0295 196 197 000
0296 196 197 000
0297 196 197 000
0298 196 197 000
0299 196 197 000
0300 196 197 000
0301 196 197 000
0302 196 197 000
0303 196 197 000
0304 196 197 000
0305 196 197 000
0306 196 197 000
0307 194 197 000
0308 191 197 000
0309 188 197 000
0310 185 197 000
0311 181 197 000
0312 177 197 000
0313 173 197 000
0314 169 197 000
0315 164 197 000
0316 160 197 000
0317 155 197 000
0318 151 197 000
0319 146 197 000
0320 142 197 000
0321 137 197 000
0322 133 197 000
0323 129 197 000
0324 126 196 000
0325 123 196 000
0326 119 196 000
0327 117 196 000
0328 114 196 000
0329 112 196 000
0330 110 196 000
0331 108 195 000
0332 106 193 000
0333 105 191 000
0334 103 189 000
0335 102 186 000
0336 101 183 000
0337 101 180 000
0338 100 178 000
0339 100 174 000
0340 099 171 000
0341 099 168 000
0342 099 164 000
0343 099 160 000
0344 098 156 000
0345 098 152 000
0346 098 148 000
0347 098 144 000
0348 098 139 000
0349 098 135 000
0350 098 131 000
0351 098 126 000
0352 098 122 000
0353 098 117 000
0354 099 113 000
0355 099 108 000
0356 099 103 000
0357 100 098 000
0358 100 093 000
0359 102 087 000
0360 103 081 000
0361 105 075 000
0362 107 069 000
0363 109 063 000
0364 112 057 000
0365 115 052 000
0366 119 046 000
0367 123 041 000
0368 128 036 000
0369 134 031 000
0370 140 027 000
0371 146 023 000
0372 152 020 000
0373 159 016 000
0374 165 014 000
0375 171 011 000
0376 176 009 000
0377 181 008 000
0378 185 006 000
0379 189 005 000
0380 193 004 000
0381 196 004 000
0382 196 003 000
0383 196 003 000
0384 196 002 000
0385 196 002 000
0386 196 002 000
0387 196 001 000
0388 196 001 000
0389 196 001 000
0390 196 001 000
0391 196 001 000
0392 196 000 000
0393 196 000 000
0394 196 000 000
0395 196 000 000
0396 196 000 000
0397 196 000 000
0398 196 000 000
0399 196 000 000
0400 196 000 000
0401 196 000 000
0402 196 000 000
0403 196 000 000
0404 195 000 000
0405 196 000 000
0406 196 000 000
0407 196 000 000
0408 196 000 000
0409 196 000 000
0410 196 000 000
0411 193 000 000
0412 190 000 000
0413 186 000 000
0414 183 000 000
0415 180 000 000
0416 176 000 000
0417 172 000 000
0418 169 000 000
0419 164 000 000
0420 160 000 000
0421 156 000 000
0422 152 000 000
0423 147 000 000
0424 143 000 000
0425 138 000 000
0426 134 000 000
0427 130 000 000
0428 126 000 000
0429 122 000 000
