Tick PD1 PD2 PD3
0050 160 025 195
0051 128 052 196
0052 108 090 195
0053 101 129 196
0054 099 156 196
0055 100 177 196
0056 105 192 196
0057 120 196 196
0058 143 196 196
0059 169 196 196
0060 191 196 196
0061 196 197 196
0062 196 197 196
0063 196 196 196
0064 196 196 196
0065 196 196 196
0066 196 197 196
0067 196 197 196
0068 196 196 196
0069 196 196 196
0070 196 196 196
0071 196 197 196
0072 196 197 196
0073 196 196 196
0074 196 197 196
0075 196 197 196
0076 196 196 196
0077 196 197 196
0078 196 197 196
0079 196 197 196
0080 196 197 196
0081 196 197 196
0082 196 197 196
0083 196 197 196
0084 196 197 196
0085 196 197 196
0086 196 197 196
0087 196 197 196
0088 196 197 196
0089 196 197 196
0090 196 197 196
0091 196 197 196
0092 196 196 196
0093 196 196 196
0094 196 196 196
0095 196 197 196
0096 196 197 196
0097 196 197 197
0098 196 197 197
0099 196 197 197
0100 196 197 197
0101 196 197 197
0102 196 197 197
0103 197 197 197
0104 196 197 197
0105 197 197 197
0106 196 197 197
0107 196 197 197
0108 197 197 197
0109 197 197 197
0110 196 197 197
0111 196 197 197
0112 196 197 197
0113 197 197 197
0114 197 197 197
0115 197 197 197
0116 196 197 197
0117 197 197 197
0118 196 197 197
0119 197 197 197
0120 197 197 197
0121 197 197 197
0122 197 197 197
0123 196 197 197
0124 196 197 197
0125 196 197 197
0126 197 197 197
0127 197 197 197
0128 196 197 197
0129 197 197 197
0130 196 197 197
0131 197 197 197
0132 196 197 197
0133 197 197 197
0134 197 197 197
0135 197 197 197
0136 196 197 197
0137 197 197 197
0138 197 197 197
0139 197 197 197
0140 196 197 197
0141 197 197 197
0142 196 197 197
0143 196 197 197
0144 197 197 197
0145 197 197 197
0146 196 197 197
0147 197 197 197
0148 196 197 197
0149 196 197 197
0150 196 197 197
0151 196 197 197
0152 196 197 197
0153 197 197 197
0154 196 197 196
0155 196 197 194
0156 197 197 192
0157 196 197 189
0158 196 197 187
0159 195 197 185
0160 192 197 183
0161 189 197 180
0162 186 197 178
0163 183 197 175
0164 180 197 173
0165 177 197 170
0166 173 197 168
0167 170 197 165
0168 167 197 162
0169 164 197 159
0170 160 197 156
0171 157 197 153
0172 154 197 150
0173 150 197 147
0174 146 197 143
0175 143 197 140
0176 139 197 136
0177 136 197 133
0178 132 197 129
0179 129 197 125
0180 125 196 121
0181 122 196 117
0182 120 196 113
0183 117 196 109
