Tick PD1 PD2 PD3
0050 104 140 000
0051 106 157 000
0052 111 172 000
0053 118 184 000
0054 128 194 000
0055 142 196 000
0056 155 196 000
0057 169 196 000
0058 181 196 000
0059 191 196 000
0060 195 196 000
0061 195 196 000
0062 195 196 000
0063 195 196 000
0064 195 196 000
0065 195 196 000
0066 195 196 000
0067 195 196 000
0068 195 196 000
0069 195 196 000
0070 195 196 000
0071 195 196 000
0072 195 196 000
0073 195 196 000
0074 195 196 000
0075 192 196 000
0076 185 196 000
0077 178 196 000
0078 170 196 000
0079 162 196 000
0080 153 196 000
0081 145 196 000
0082 137 196 000
0083 129 196 000
0084 123 195 000
0085 118 195 000
0086 113 195 000
0087 110 195 000
0088 107 195 000
0089 106 195 000
0090 106 195 000
0091 106 195 000
0092 106 195 000
0093 106 195 000
0094 107 195 000
0095 110 195 000
0096 116 195 000
0097 125 195 000
0098 137 196 000
0099 153 195 000
0100 169 196 000
0101 184 196 000
0102 195 196 000
0103 195 196 000
0104 195 196 000
0105 195 187 000
0106 195 175 000
0107 195 162 000
0108 195 146 000
0109 195 129 000
0110 195 111 000
0111 195 094 000
0112 195 078 000
0113 195 064 000
0114 189 051 000
0115 178 040 000
0116 167 031 000
0117 155 023 000
0118 144 017 000
0119 135 011 000
0120 128 008 000
0121 122 005 000
0122 118 003 000
0123 115 002 000
0124 113 001 000
0125 112 001 000
0126 111 000 000
0127 111 000 000
0128 111 000 000
0129 111 000 000
0130 111 000 001
0131 111 000 003
0132 111 000 004
0133 112 000 006
0134 113 000 009
0135 115 000 012
0136 118 000 017
0137 122 000 021
0138 127 000 027
0139 133 000 033
0140 141 000 040
0141 149 000 049
0142 157 000 058
0143 164 000 068
0144 169 000 080
0145 171 000 093
0146 170 000 106
0147 166 000 119
0148 159 000 132
0149 152 000 145
0150 143 000 158
0151 135 000 169
0152 126 000 178
0153 117 000 186
0154 107 000 193
0155 098 000 195
0156 086 000 195
0157 073 000 195
0158 059 000 195
0159 045 000 195
0160 032 000 195
0161 022 000 195
0162 015 000 195
0163 009 000 195
0164 005 000 195
0165 003 000 195
0166 002 000 195
0167 002 000 195
0168 001 000 195
0169 001 000 195
0170 001 000 195
0171 001 000 195
0172 002 000 195
0173 003 000 195
0174 005 000 195
0175 009 000 195
0176 013 000 195
0177 019 000 195
0178 025 000 195
0179 033 000 195
0180 041 000 195
0181 049 000 195
0182 059 000 195
0183 068 000 195
0184 076 000 195
0185 084 000 195
0186 092 000 195
0187 098 000 195
0188 103 000 195
0189 106 000 195
0190 109 000 195
0191 111 000 195
0192 111 000 195
0193 110 000 195
0194 108 000 195
0195 104 000 195
0196 099 000 195
0197 091 000 195
0198 080 000 195
0199 069 000 195
0200 055 000 195
0201 042 000 195
0202 031 000 195
0203 021 000 195
0204 014 000 195
0205 010 000 195
0206 008 000 195
0207 008 000 195
0208 011 000 195
0209 014 000 195
0210 019 000 195
0211 026 000 195
0212 033 000 195
0213 042 000 195
0214 051 000 195
0215 061 000 195
0216 073 000 195
0217 084 000 195
0218 098 000 195
0219 110 000 195
0220 121 000 195
0221 135 000 195
0222 148 000 195
0223 161 000 195
0224 172 000 195
0225 182 000 195
0226 191 000 195
0227 196 000 195
0228 196 000 195
0229 196 000 195
0230 196 000 195
0231 196 000 195
0232 196 000 195
0233 196 000 195
0234 196 000 195
0235 196 000 195
0236 196 000 195
0237 196 000 195
0238 196 000 195
0239 196 000 195
0240 193 000 195
0241 181 000 195
0242 167 000 195
0243 153 000 195
0244 141 000 195
0245 132 000 195
0246 125 000 195
0247 121 000 195
0248 118 000 195
0249 117 000 195
0250 116 000 195
0251 116 000 195
0252 115 000 195
0253 116 000 195
0254 116 000 193
0255 117 000 187
0256 119 000 181
0257 123 000 173
0258 128 000 165
0259 134 000 155
0260 141 000 145
0261 149 000 135
0262 158 000 125
0263 167 000 116
0264 176 000 106
0265 185 000 096
0266 192 000 087
0267 195 000 078
0268 195 000 069
0269 195 000 061
0270 195 000 053
0271 195 000 046
0272 195 000 040
0273 195 000 034
0274 195 000 028
0275 195 000 023
0276 195 000 019
0277 195 000 015
0278 195 000 011
0279 195 000 008
0280 195 000 006
0281 195 000 004
0282 195 000 003
0283 187 000 002
0284 175 000 001
0285 163 000 000
0286 150 000 000
0287 139 000 000
0288 130 000 000
0289 122 000 000
0290 117 000 000
0291 114 000 000
0292 113 000 000
0293 112 000 000
0294 111 000 000
0295 111 000 000
0296 112 000 000
0297 112 000 000
0298 114 000 000
0299 118 000 000
0300 123 000 000
0301 131 000 000
0302 140 000 000
0303 150 000 000
0304 163 000 000
0305 174 000 000
0306 185 000 000
0307 195 000 000
0308 195 000 000
0309 195 000 000
0310 195 000 001
0311 195 000 002
0312 195 000 003
0313 195 000 006
0314 195 000 008
0315 195 000 012
0316 195 000 015
0317 195 000 020
0318 195 000 025
0319 195 000 031
0320 195 000 037
0321 195 000 044
0322 195 000 052
0323 195 000 061
0324 190 000 070
0325 181 000 079
0326 171 000 089
0327 162 000 099
0328 152 000 108
0329 144 000 118
0330 136 000 128
0331 130 000 139
0332 125 000 149
0333 121 000 159
0334 119 000 168
