Tick PD1 PD2 PD3
0050 097 000 022
0051 106 000 030
0052 115 000 038
0053 123 000 047
0054 131 000 056
0055 139 000 065
0056 146 000 072
0057 155 000 079
0058 162 000 087
0059 169 000 094
0060 176 000 101
0061 182 000 105
0062 188 000 109
0063 194 000 112
0064 196 001 114
0065 196 002 115
0066 196 003 115
0067 196 004 113
0068 196 008 110
0069 196 013 105
0070 196 020 097
0071 196 030 086
0072 196 042 072
0073 196 057 057
0074 196 074 042
0075 196 094 028
0076 196 113 018
0077 196 132 011
0078 196 150 007
0079 196 165 006
0080 196 177 008
0081 196 186 012
0082 196 194 019
0083 196 197 028
0084 196 197 038
0085 196 197 050
0086 196 197 064
0087 196 197 079
0088 196 197 094
0089 196 197 111
0090 196 197 131
0091 196 197 150
0092 196 197 167
0093 197 197 181
0094 196 197 193
0095 196 197 196
0096 196 197 196
0097 196 197 196
0098 196 197 196
0099 196 197 197
0100 193 197 196
0101 185 197 196
0102 176 197 196
0103 166 197 197
0104 153 197 196
0105 140 197 197
0106 126 196 196
0107 111 196 197
0108 097 196 189
0109 084 196 175
0110 070 196 161
0111 058 196 149
0112 048 196 139
0113 038 196 132
0114 030 196 126
0115 023 196 123
0116 017 196 122
0117 013 196 121
0118 010 196 120
0119 008 196 120
0120 006 196 120
0121 004 196 120
0122 003 196 122
0123 003 196 124
0124 002 196 128
0125 002 196 134
0126 001 196 142
0127 001 196 152
0128 000 196 163
0129 000 196 175
0130 000 196 187
0131 000 196 197
0132 000 196 196
0133 000 196 197
0134 000 196 197
0135 000 196 197
0136 000 196 197
0137 000 196 197
0138 000 196 196
0139 000 196 197
0140 000 196 197
0141 000 196 197
0142 000 196 196
0143 000 196 197
0144 000 196 193
0145 000 196 174
0146 000 196 151
0147 000 196 126
0148 000 196 100
0149 000 196 076
0150 000 196 056
0151 000 196 039
0152 000 196 026
0153 000 196 017
0154 000 196 011
0155 000 196 007
0156 000 196 005
0157 000 196 004
0158 000 196 004
0159 000 196 006
0160 000 196 010
0161 000 196 017
0162 000 196 026
0163 000 196 038
0164 000 196 051
0165 000 196 066
0166 000 196 080
0167 000 196 092
0168 000 196 102
0169 000 196 109
0170 000 196 114
0171 000 196 118
0172 000 196 120
0173 000 196 120
0174 000 196 120
0175 000 196 118
0176 000 196 116
0177 000 196 112
0178 000 196 107
0179 000 196 101
0180 000 196 092
0181 000 196 083
0182 000 196 073
0183 000 196 062
0184 000 196 050
0185 000 196 039
0186 000 196 028
0187 000 196 020
0188 000 196 013
0189 000 196 007
0190 000 196 004
0191 000 196 002
0192 000 196 001
0193 000 196 001
0194 000 196 001
0195 000 196 002
0196 000 196 003
0197 000 196 008
0198 000 196 015
0199 000 196 026
0200 002 196 041
0201 006 196 060
0202 011 196 083
0203 018 196 107
0204 027 196 130
0205 037 196 152
0206 048 196 170
0207 061 197 186
0208 075 197 197
0209 089 197 197
0210 103 197 197
0211 117 197 197
0212 130 197 197
0213 144 197 197
0214 155 197 197
0215 166 197 188
0216 175 197 176
0217 182 197 164
0218 189 197 153
0219 193 197 142
